MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft
413999001,2025-01-01T00:30:00+00:00,18.57136,72.48325,12.4,205.0,205.0,PACIFIC VOYAGER,IMO9384813,VRBM8,80,0,274,48,15.2
413999001,2025-01-01T00:45:00+00:00,18.54836,72.49425,12.1,205.0,205.0,PACIFIC VOYAGER,IMO9384813,VRBM8,80,0,274,48,15.2
413999001,2025-01-01T01:00:00+00:00,18.52736,72.50525,11.8,204.0,204.0,PACIFIC VOYAGER,IMO9384813,VRBM8,80,0,274,48,15.2
413999001,2025-01-01T01:15:00+00:00,18.50536,72.51625,12.2,205.0,205.0,PACIFIC VOYAGER,IMO9384813,VRBM8,80,0,274,48,15.2
413999001,2025-01-01T01:30:00+00:00,18.48336,72.52725,12.5,206.0,206.0,PACIFIC VOYAGER,IMO9384813,VRBM8,80,0,274,48,15.2
211888002,2025-01-01T00:35:00+00:00,18.56436,72.54425,13.8,190.0,190.0,NORDIC TRADER,IMO9245172,LAHP7,70,0,189,30,10.5
211888002,2025-01-01T00:50:00+00:00,18.53136,72.54625,13.9,190.0,190.0,NORDIC TRADER,IMO9245172,LAHP7,70,0,189,30,10.5
211888002,2025-01-01T01:05:00+00:00,18.49836,72.54825,13.7,191.0,191.0,NORDIC TRADER,IMO9245172,LAHP7,70,0,189,30,10.5
356777003,2025-01-01T00:40:00+00:00,18.58636,72.35425,19.4,182.0,182.0,EVER GLORY,IMO9723485,3FGH2,71,0,334,45,13.8
356777003,2025-01-01T01:00:00+00:00,18.52636,72.35225,19.2,182.0,182.0,EVER GLORY,IMO9723485,3FGH2,71,0,334,45,13.8
356777003,2025-01-01T01:20:00+00:00,18.46636,72.35025,19.1,182.0,182.0,EVER GLORY,IMO9723485,3FGH2,71,0,334,45,13.8
563444004,2024-12-31T11:00:00+00:00,18.52636,72.50425,8.0,45.0,45.0,OCEAN SCOUT,IMO9512398,9V234,60,0,65,15,4.8
636011005,2025-01-01T01:00:00+00:00,18.97636,72.95425,10.5,120.0,120.0,ARABIAN DAWN,IMO9123847,A8BC9,70,0,145,22,8.2
